iteration,0,1,2,3,4,5,6,7
0,0,679,0,0,0,0,0,0
1,19,641,19,0,0,0,0,0
2,38,604,36,1,0,0,0,0
3,43,595,39,2,0,0,0,0
4,47,588,41,3,0,0,0,0
5,48,586,42,3,0,0,0,0
6,49,584,43,3,0,0,0,0
7,49,584,43,3,0,0,0,0
8,49,584,43,3,0,0,0,0
9,50,582,44,3,0,0,0,0
10,51,580,45,3,0,0,0,0
11,52,578,46,3,0,0,0,0
12,52,578,46,3,0,0,0,0
13,52,578,46,3,0,0,0,0
14,52,578,46,3,0,0,0,0
15,52,578,46,3,0,0,0,0
16,52,578,46,3,0,0,0,0
17,52,578,46,3,0,0,0,0
18,52,578,46,3,0,0,0,0
19,53,577,45,4,0,0,0,0
20,53,577,45,4,0,0,0,0
21,53,577,45,4,0,0,0,0
22,53,577,45,4,0,0,0,0
23,53,577,45,4,0,0,0,0
24,53,577,45,4,0,0,0,0
25,53,577,45,4,0,0,0,0
26,53,577,45,4,0,0,0,0
27,54,575,46,4,0,0,0,0
28,54,575,46,4,0,0,0,0
29,55,573,47,4,0,0,0,0
30,55,573,47,4,0,0,0,0
31,57,570,48,3,1,0,0,0
32,59,566,50,3,1,0,0,0
33,59,566,50,3,1,0,0,0
34,59,566,50,3,1,0,0,0
35,59,566,50,3,1,0,0,0
36,60,564,51,3,1,0,0,0
37,61,563,50,4,1,0,0,0
38,61,563,50,4,1,0,0,0
39,63,559,53,2,2,0,0,0
40,63,559,53,2,2,0,0,0
41,64,558,52,3,2,0,0,0
42,65,556,53,3,2,0,0,0
43,65,556,53,3,2,0,0,0
44,65,556,53,3,2,0,0,0
45,65,555,55,2,2,0,0,0
46,66,553,56,2,2,0,0,0
47,66,553,56,2,2,0,0,0
48,67,552,55,3,2,0,0,0
49,67,553,53,4,2,0,0,0
50,67,553,53,4,2,0,0,0
51,67,553,53,4,2,0,0,0
52,67,553,53,4,2,0,0,0
53,67,552,55,3,2,0,0,0
54,67,552,55,3,2,0,0,0
55,67,554,51,5,2,0,0,0
56,67,554,51,5,2,0,0,0
57,67,553,53,4,2,0,0,0
58,67,554,51,5,2,0,0,0
59,67,553,53,4,2,0,0,0
60,67,554,51,5,2,0,0,0
61,69,549,55,4,2,0,0,0
62,69,550,53,5,2,0,0,0
63,71,546,55,5,2,0,0,0
64,71,546,55,5,2,0,0,0
65,71,546,55,5,2,0,0,0
66,73,542,57,5,2,0,0,0
67,73,542,57,5,2,0,0,0
68,74,541,56,6,2,0,0,0
69,74,540,58,5,2,0,0,0
70,74,540,58,5,2,0,0,0
71,73,541,59,4,2,0,0,0
72,74,540,58,5,2,0,0,0
73,74,539,60,4,2,0,0,0
74,75,538,59,5,2,0,0,0
75,76,536,60,5,2,0,0,0
76,78,533,60,6,2,0,0,0
77,78,534,58,7,2,0,0,0
78,79,531,61,6,2,0,0,0
79,79,533,57,8,2,0,0,0
80,79,533,57,8,2,0,0,0
81,80,531,58,8,2,0,0,0
82,80,531,58,8,2,0,0,0
83,81,528,61,7,2,0,0,0
84,81,528,61,7,2,0,0,0
85,81,529,59,8,2,0,0,0
86,81,528,61,7,2,0,0,0
87,81,530,57,9,2,0,0,0
88,81,529,59,8,2,0,0,0
89,81,529,59,8,2,0,0,0
90,82,528,59,8,1,1,0,0
91,82,529,58,7,2,1,0,0
92,83,527,58,9,1,1,0,0
93,83,526,60,8,1,1,0,0
94,83,525,61,8,2,0,0,0
95,83,526,60,8,1,1,0,0
96,84,524,61,8,1,1,0,0
97,85,524,59,8,2,1,0,0
98,87,519,62,9,1,1,0,0
99,88,517,63,9,1,1,0,0
100,88,516,65,8,1,1,0,0
101,88,516,65,8,1,1,0,0
102,89,516,62,10,1,1,0,0
103,89,516,62,10,1,1,0,0
104,90,514,63,10,1,1,0,0
105,91,511,66,9,1,1,0,0
106,91,511,66,9,1,1,0,0
107,92,509,67,9,1,1,0,0
108,92,510,65,10,1,1,0,0
109,94,506,67,10,1,1,0,0
110,95,504,68,10,1,1,0,0
111,95,504,68,10,1,1,0,0
112,95,504,68,10,1,1,0,0
113,95,503,70,9,1,1,0,0
114,95,504,68,10,1,1,0,0
115,95,504,68,10,1,1,0,0
116,95,503,70,9,1,1,0,0
117,95,503,70,9,1,1,0,0
118,96,503,67,11,1,1,0,0
119,96,503,67,11,1,1,0,0
120,96,503,67,11,1,1,0,0
121,96,503,67,11,1,1,0,0
122,96,502,69,10,1,1,0,0
123,96,504,65,12,1,1,0,0
124,96,505,64,11,2,1,0,0
125,97,503,65,11,2,1,0,0
126,97,503,65,11,2,1,0,0
127,97,502,66,12,1,1,0,0
128,97,500,70,10,1,1,0,0
129,97,500,70,10,1,1,0,0
130,97,501,68,11,1,1,0,0
131,97,500,70,10,1,1,0,0
132,97,500,70,10,1,1,0,0
133,97,500,70,10,1,1,0,0
134,97,500,70,10,1,1,0,0
135,97,500,70,10,1,1,0,0
136,99,497,70,11,1,1,0,0
137,100,495,71,11,1,1,0,0
138,100,496,69,12,1,1,0,0
139,100,495,71,11,1,1,0,0
140,100,494,73,10,1,1,0,0
141,100,495,71,11,1,1,0,0
142,101,493,72,11,1,1,0,0
143,101,493,72,11,1,1,0,0
144,101,492,74,10,1,1,0,0
145,102,490,75,10,1,1,0,0
146,102,491,73,11,1,1,0,0
147,102,493,69,13,1,1,0,0
148,102,492,71,12,1,1,0,0
149,102,492,71,12,1,1,0,0
150,102,492,71,12,1,1,0,0
151,102,492,71,12,1,1,0,0
152,102,491,73,11,1,1,0,0
153,103,489,74,11,1,1,0,0
154,103,490,72,12,1,1,0,0
155,103,490,72,12,1,1,0,0
156,103,490,73,10,2,1,0,0
157,103,490,72,12,1,1,0,0
158,103,490,72,12,1,1,0,0
159,103,489,74,11,1,1,0,0
160,104,487,75,11,1,1,0,0
161,104,488,73,12,1,1,0,0
162,104,488,74,10,2,1,0,0
163,104,489,72,11,2,1,0,0
164,104,489,72,11,2,1,0,0
165,104,488,73,12,1,1,0,0
166,104,487,76,9,2,1,0,0
167,104,487,76,9,2,1,0,0
168,104,488,74,10,2,1,0,0
169,104,486,78,8,2,1,0,0
170,104,489,72,11,2,1,0,0
171,104,488,74,10,2,1,0,0
172,104,487,75,11,1,1,0,0
173,105,487,72,13,1,1,0,0
174,105,485,76,11,1,1,0,0
175,105,485,76,11,1,1,0,0
176,106,484,75,12,1,1,0,0
177,107,482,76,12,1,1,0,0
178,107,480,80,10,1,1,0,0
179,108,479,79,11,1,1,0,0
180,109,477,80,11,1,1,0,0
181,109,476,82,10,1,1,0,0
182,109,476,82,10,1,1,0,0
183,109,477,80,11,1,1,0,0
184,109,477,81,9,2,1,0,0
185,109,477,81,9,2,1,0,0
186,109,479,77,11,2,1,0,0
187,109,478,78,12,1,1,0,0
188,109,478,79,10,2,1,0,0
189,110,476,80,10,2,1,0,0
190,110,476,80,10,2,1,0,0
191,110,478,76,12,2,1,0,0
192,110,476,80,10,2,1,0,0
193,110,475,81,11,1,1,0,0
194,110,476,80,10,2,1,0,0
195,110,474,83,10,1,1,0,0
196,110,475,81,11,1,1,0,0
197,110,476,79,12,1,1,0,0
198,110,474,83,10,1,1,0,0
199,110,474,83,10,1,1,0,0
200,110,475,81,11,1,1,0,0
201,111,473,82,11,1,1,0,0
202,111,473,82,11,1,1,0,0
203,111,474,81,10,2,1,0,0
204,111,473,82,11,1,1,0,0
205,111,473,82,11,1,1,0,0
206,111,472,84,10,1,1,0,0
207,111,473,83,9,2,1,0,0
208,111,473,83,9,2,1,0,0
209,111,474,81,10,2,1,0,0
210,111,474,81,10,2,1,0,0
211,111,473,82,11,1,1,0,0
212,111,474,81,10,2,1,0,0
213,111,475,79,11,2,1,0,0
214,112,472,82,10,2,1,0,0
215,112,472,82,10,2,1,0,0
216,112,471,83,11,1,1,0,0
217,113,471,81,11,2,1,0,0
218,113,471,80,13,1,1,0,0
219,114,468,83,12,1,1,0,0
220,114,467,85,11,1,1,0,0
221,114,467,85,11,1,1,0,0
222,114,467,85,11,1,1,0,0
223,114,467,85,11,1,1,0,0
224,114,468,84,10,2,1,0,0
225,114,467,85,11,1,1,0,0
226,114,467,85,11,1,1,0,0
227,114,467,85,11,1,1,0,0
228,114,469,82,11,2,1,0,0
229,114,468,83,12,1,1,0,0
230,114,468,84,10,2,1,0,0
231,114,467,85,11,1,1,0,0
232,114,467,85,11,1,1,0,0
233,114,467,85,11,1,1,0,0
234,114,467,85,11,1,1,0,0
235,114,467,86,9,2,1,0,0
236,114,468,83,12,1,1,0,0
237,114,468,83,12,1,1,0,0
238,114,466,87,10,1,1,0,0
239,114,466,87,10,1,1,0,0
240,114,466,87,10,1,1,0,0
241,115,465,86,11,1,1,0,0
242,115,465,86,11,1,1,0,0
243,115,464,88,10,1,1,0,0
244,115,464,89,8,2,1,0,0
245,115,466,85,10,2,1,0,0
246,115,466,85,10,2,1,0,0
247,115,465,86,11,1,1,0,0
248,115,464,88,10,1,1,0,0
249,115,465,86,11,1,1,0,0
250,115,466,84,12,1,1,0,0
251,115,466,85,10,2,1,0,0
252,115,465,87,9,2,1,0,0
253,115,465,87,9,2,1,0,0
254,115,465,86,11,1,1,0,0
255,115,465,86,11,1,1,0,0
256,115,466,85,10,2,1,0,0
257,115,466,85,10,2,1,0,0
258,115,466,85,10,2,1,0,0
259,115,465,86,11,1,1,0,0
260,115,465,86,11,1,1,0,0
261,115,466,84,12,1,1,0,0
262,115,466,85,10,2,1,0,0
263,116,465,84,11,2,1,0,0
264,116,464,86,10,2,1,0,0
265,116,463,87,11,1,1,0,0
266,116,464,86,10,2,1,0,0
267,116,464,85,12,1,1,0,0
268,116,463,87,11,1,1,0,0
269,116,465,84,11,2,1,0,0
270,116,464,86,10,2,1,0,0
271,116,464,86,10,2,1,0,0
272,117,460,90,10,1,1,0,0
273,117,460,90,10,1,1,0,0
274,117,461,88,11,1,1,0,0
275,117,462,86,12,1,1,0,0
276,117,462,86,12,1,1,0,0
277,117,461,88,11,1,1,0,0
278,117,461,88,11,1,1,0,0
279,117,461,88,11,1,1,0,0
280,118,460,88,10,2,1,0,0
281,118,461,86,11,2,1,0,0
282,118,460,88,10,2,1,0,0
283,118,461,87,9,3,1,0,0
284,118,460,88,10,2,1,0,0
285,118,461,87,9,3,1,0,0
286,118,460,89,8,3,1,0,0
287,118,460,88,10,2,1,0,0
288,118,460,88,10,2,1,0,0
289,118,462,84,12,2,1,0,0
290,118,462,85,10,3,1,0,0
291,118,460,88,10,2,1,0,0
292,118,460,88,10,2,1,0,0
293,118,463,83,11,3,1,0,0
294,118,460,88,10,2,1,0,0
295,118,460,88,10,2,1,0,0
296,118,460,88,10,2,1,0,0
297,118,461,86,11,2,1,0,0
298,118,461,86,11,2,1,0,0
299,118,460,88,10,2,1,0,0
300,118,460,88,11,0,2,0,0
301,118,460,89,8,3,1,0,0
302,118,461,87,9,3,1,0,0
303,118,460,88,10,2,1,0,0
304,118,462,86,8,4,1,0,0
305,119,461,85,9,4,1,0,0
306,119,458,89,10,2,1,0,0
307,120,460,85,9,3,2,0,0
308,120,459,86,10,2,2,0,0
309,120,459,86,10,2,2,0,0
310,120,459,87,8,3,2,0,0
311,120,460,85,9,3,2,0,0
312,120,460,85,9,3,2,0,0
313,120,459,87,8,3,2,0,0
314,120,460,84,11,2,2,0,0
315,120,460,86,7,4,2,0,0
316,120,461,83,10,3,2,0,0
317,120,458,88,9,2,2,0,0
318,120,459,86,10,2,2,0,0
319,120,459,86,10,2,2,0,0
320,120,459,86,10,2,2,0,0
321,120,460,85,9,3,2,0,0
322,120,460,85,9,3,2,0,0
323,120,459,86,10,2,2,0,0
324,120,459,86,10,2,2,0,0
325,120,458,89,7,3,2,0,0
326,120,458,88,9,2,2,0,0
327,120,457,90,8,2,2,0,0
328,120,459,86,10,2,2,0,0
329,120,459,87,8,3,2,0,0
330,120,460,86,7,4,2,0,0
331,120,460,84,11,2,2,0,0
332,120,459,87,8,3,2,0,0
333,120,458,88,9,2,2,0,0
