iteration,0,1,2,3
0,168,171,171,169
1,172,174,165,168
2,176,174,163,166
3,171,173,165,170
4,169,180,166,164
5,173,169,169,168
6,174,170,165,170
7,174,174,165,166
8,176,174,163,166
9,175,178,160,166
10,177,166,171,165
11,177,176,164,162
12,171,175,167,166
13,173,173,166,167
14,177,167,164,171
15,171,175,164,169
16,176,170,165,168
17,177,180,163,159
18,175,173,160,171
19,174,181,163,161
20,166,181,160,172
21,171,175,163,170
22,172,174,172,161
23,171,174,167,167
24,175,178,163,163
25,175,167,168,169
26,173,175,165,166
27,181,173,162,163
28,175,177,161,166
29,176,169,171,163
30,176,171,166,166
31,175,176,163,165
32,179,172,165,163
33,178,174,161,166
34,170,169,166,174
35,172,176,163,168
36,169,175,168,167
37,171,175,170,163
38,173,174,167,165
39,177,178,162,162
40,176,173,159,171
41,175,170,161,173
42,175,172,170,162
43,175,176,162,166
44,172,179,166,162
45,169,176,165,169
46,176,174,166,163
47,170,177,169,163
48,175,173,164,167
49,175,176,159,169
50,173,171,167,168
51,179,169,163,168
52,176,178,159,166
53,175,172,164,168
54,180,180,164,155
55,172,172,169,166
56,174,179,161,165
57,175,175,165,164
58,168,175,165,171
59,176,172,163,168
60,175,178,161,165
61,171,177,166,165
62,183,171,161,164
63,177,171,172,159
64,178,171,165,165
65,179,172,165,163
66,172,178,164,165
67,180,182,160,157
68,167,168,179,165
69,174,175,163,167
70,179,167,169,164
71,177,174,167,161
72,173,171,171,164
73,174,178,166,161
74,179,178,163,159
75,175,178,161,165
76,178,171,160,170
77,180,177,162,160
78,169,178,162,170
79,167,180,168,164
80,177,172,170,160
81,169,168,178,164
82,175,171,171,162
83,180,171,166,162
84,170,177,171,161
85,178,177,164,160
86,173,171,170,165
87,170,166,171,172
88,174,170,162,173
89,171,168,172,168
90,174,175,168,162
91,173,174,171,161
92,177,173,167,162
93,175,171,166,167
94,165,169,169,176
95,169,172,171,167
96,175,175,164,165
97,176,171,166,166
98,173,174,160,172
99,173,183,163,160
100,171,175,166,167
101,178,183,163,155
102,178,171,171,159
103,172,179,169,159
104,170,175,167,167
105,183,173,162,161
106,178,173,170,158
107,169,173,166,171
108,174,174,166,165
109,174,176,169,160
110,172,175,163,169
111,170,178,168,163
112,177,170,168,164
113,170,176,169,164
114,175,177,168,159
115,173,173,165,168
116,170,175,169,165
117,167,178,171,163
118,173,177,170,159
119,166,177,172,164
120,172,174,166,167
121,179,178,162,160
122,172,176,169,162
123,175,173,165,166
124,173,181,161,164
125,170,168,172,169
126,169,172,168,170
127,175,182,159,163
128,170,180,162,167
129,167,181,173,158
130,172,173,176,158
131,175,187,158,159
132,173,174,173,159
133,175,181,163,160
134,170,173,167,169
135,173,174,166,166
